,submission_id,title,authors,submission_type,first_author_last_name
8,65,Reporting Score Distributions Makes a Difference: Performance Study of LSTM-networks for Sequence Tagging,Nils Reimers and Iryna Gurevych,Long,reimers
130,962,Learning Word Relatedness over Time,"Guy D. Rosin, Kira Radinsky and Eytan Adar",Long,rosin
107,737,Learning to select data for transfer learning with Bayesian Optimization,Sebastian Ruder and Barbara Plank,Long,ruder
3,22,From Textbooks to Knowledge: A Case Study in Harvesting Axiomatic Knowledge from Textbooks to Solve Geometry Problems,"Mrinmaya Sachan, Kumar Dubey and Eric Xing",Long,sachan
11,84,Measuring Thematic Fit with Distributional Feature Overlap,"Enrico Santus, Emmanuele Chersoni, Alessandro Lenci and Philippe Blache",Long,santus
272,884,Word Embeddings based on Fixed-Size Ordinally Forgetting Encoding,"Joseph Sanu, Mingbin Xu, Hui Jiang and Quan Liu",Short,sanu
306,1327,Connotation Frames of Power and Agency in Modern Films,"Maarten Sap, Marcella Cindy Prasetio, Ari Holtzman, Hannah Rashkin and Yejin Choi",Short,sap
262,747,Identifying the Provision of Choices in Privacy Policy Text,"Kanthashree Mysore Sathyendra, Shomir Wilson, Florian Schaub, Sebastian Zimmeck and Norman Sadeh",Short,sathyendra
297,1254,Adapting Sequence Models for Sentence Correction,"Allen Schmaltz, Yoon Kim, Alexander Rush and Stuart Shieber",Short,schmaltz
68,488,Quantifying the Effects of Text Duplication on Semantic Models,"Alexandra Schofield, Laure Thompson and David Mimno",Long,schofield
29,236,Multi-modular domain-tailored OCR post-correction,Sarah Schulz and Jonas Kuhn,Long,schulz
70,501,Assessing Objective Recommendation Quality through Political Forecasting,"H. Andrew Schwartz, Masoud Rouhizadeh, Michael Bishop, Philip Tetlock, Barbara Mellers and Lyle Ungar",Long,schwartz
83,591,A Hybrid Convolutional Variational Autoencoder for Text Generation,"Stanislau Semeniuta, Aliaksei Severyn and Erhardt Barth",Long,semeniuta
212,1462,Piecewise Latent Variables for Neural Variational Text Processing,"Iulian Vlad Serban, Alexander G. Ororbia, Joelle Pineau and Aaron Courville",Long,serban
118,844,Generating High-Quality and Informative Conversation Responses with Sequence-to-Sequence Models,"Yuanlong Shao, Stephan Gouws, Denny Britz, Anna Goldie, Brian Strope and Ray Kurzweil",Long,shao
317,1436,Sentiment Intensity Ranking among Adjectives Using Sentiment Bearing Word Embeddings,"Raksha Sharma, Arpan Somani, Lakshya Kumar and Pushpak Bhattacharyya",Short,sharma
304,1324,Speeding up Reinforcement Learning-based Information Extraction Training using Asynchronous Methods,"Aditya Sharma, Zarana Parekh and Partha Talukdar",Short,sharma
13,117,Inter-Weighted Alignment Network for Sentence Pair Modeling,"Gehui Shen, Yunlun Yang and Zhi-Hong Deng",Long,shen
203,1381,Fast(er) Exact Decoding and Global Training for Transition-Based Dependency Parsing via a Minimal Feature Set,"Tianze Shi, Liang Huang and Lillian Lee",Long,shi
77,536,Never Abandon Minorities: Exhaustive Extraction of Bursty Phrases on Microblogs Using Set Cover Problem,"Masumi Shirakawa, Takahiro Hara and Takuya Maekawa",Long,shirakawa
217,76,GRASP: Rich Patterns for Argumentation Mining,"Eyal Shnarch, Ran Levy, Vikas Raykar and Noam Slonim",Short,shnarch
314,1420,DOC: Deep Open Classification of Text Documents,"Lei Shu, Hu Xu and Bing Liu",Short,shu
230,306,Context-Aware Representations for Knowledge Base Relation Extraction,Daniil Sorokin and Iryna Gurevych,Short,sorokin
28,223,Neural Lattice-to-Sequence Models for Uncertain Inputs,"Matthias Sperber, Graham Neubig, Jan Niehues and Alex Waibel",Long,sperber
181,1255,Joint Concept Learning and Semantic Parsing from Natural Language Explanations,"Shashank Srivastava, Igor Labutov and Tom Mitchell",Long,srivastava
23,191,Unfolding and Shrinking Neural Machine Translation Ensembles,Felix Stahlberg and Bill Byrne,Long,stahlberg
213,1464,Neural Discontinuous Constituency Parsing,Miloš Stanojević and Raquel Garrido Alhama,Long,stanojević
260,730,Break it Down for Me: A Study in Automated Lyric Annotation,"Lucas Sterckx, Jason Naradowsky, Bill Byrne, Thomas Demeester and Chris Develder",Short,sterckx
300,1298,Effective Inference for Generative Neural Parsing,"Mitchell Stern, Daniel Fried and Dan Klein",Short,stern
251,650,A Sub-Character Architecture for Korean Language Processing,Karl Stratos,Short,stratos
140,1005,Fast and Accurate Entity Recognition with Iterated Dilated Convolutions,"Emma Strubell, Patrick Verga, David Belanger and Andrew McCallum",Long,strubell
176,1197,Learning Chinese Word Representations From Glyphs Of Characters,Tzu-ray Su and Hung-yi Lee,Long,su
153,1048,Cross-domain Semantic Parsing via Paraphrasing,Yu Su and Xifeng Yan,Long,su
143,1022,"""i have a feeling trump will win.................."": Forecasting Winners and Losers from User Predictions on Twitter","Sandesh Swamy, Alan Ritter and Marie-Catherine de Marneffe",Long,swamy
39,313,Entity Linking for Queries by Searching Wikipedia Sentences,"Chuanqi Tan, Furu Wei, Pengjie Ren, Weifeng Lv and Ming Zhou",Long,tan
247,634,NITE: A Neural Inductive Teaching Framework for Domain Specific NER,"Siliang Tang, Ning Zhang, Jinjiang Zhang, Fei Wu and Yueting Zhuang",Short,tang
96,663,Dict2vec : Learning Word Embeddings using Lexical Dictionaries,"Julien Tissier, Christopher Gravier and Amaury Habrard",Long,tissier
308,1397,Preserving Distributional Information in Dialogue Act Classification,"Quan Hung Tran, Ingrid Zukerman and Gholamreza Haffari",Short,tran
280,1017,No Need to Pay Attention: Simple Recurrent Neural Networks Work!,Ferhan Ture and Oliver Jojic,Short,ture
264,797,Ranking Kernels for Structures and Embeddings: A Hybrid Preference and Classification Model,"Kateryna Tymoshenko, Daniele Bonadiman and Alessandro Moschitti",Short,tymoshenko
282,1037,Sound-Word2Vec: Learning Word Representations Grounded in Sounds,"Ashwin Vijayakumar, Ramakrishna Vedantam and Devi Parikh",Short,vijayakumar
40,329,Detecting Perspectives in Political Debates,David Vilares and Yulan He,Long,vilares
115,817,Cross-Lingual Induction and Transfer of Verb Classes Based on Word Vector Space Specialisation,"Ivan Vulić, Nikola Mrkšić and Anna Korhonen",Long,vulić
44,349,The Impact of Modeling Overall Argumentation with Tree Kernels,"Henning Wachsmuth, Giovanni Da San Martino, Dora Kiesel and Benno Stein",Long,wachsmuth
208,1407,Getting the Most out of AMR Parsing,Chuan Wang and Nianwen Xue,Long,wang
75,524,Affinity-Preserving Random Walk for Multi-Document Summarization,"Kexiang Wang, Tianyu Liu, Zhifang Sui and Baobao Chang",Long,wang
202,1380,Steering Output Style and Topic in Neural Response Generation,"Di Wang, Nebojsa Jojic, Chris Brockett and Eric Nyberg",Long,wang
157,1077,Opinion Recommendation Using A Neural Model,Zhongqing Wang and Yue Zhang,Long,wang
15,120,"A Short Survey on Taxonomy Learning from Text Corpora: Issues, Resources and Recent Advances","Chengyu Wang, Xiaofeng He and Aoying Zhou",Long,wang
14,119,Learning Fine-grained Relations from Chinese User Generated Categories,"Chengyu Wang, Yan Fan, Xiaofeng He and Aoying Zhou",Long,wang
